method,dataset,iter,wall_s,HR@10,HR@100,NDCG@10,NDCG@100
eALS,amazon-movies,1,1.255250584013993,0.006481425913701014,0.03219708335833883,0.003269936122305838,0.008082614214862522
eALS,amazon-movies,2,2.942216791998362,0.020014403168697112,0.0996519234231531,0.009547188078384698,0.024612896543352688
eALS,amazon-movies,3,3.773712541034911,0.024905479205425192,0.12992858428854348,0.012141697362080282,0.03200487791379426
eALS,amazon-movies,5,6.194871664978564,0.026765888495469004,0.14802256496429214,0.013344068534261176,0.036364833131143144
eALS,amazon-movies,8,12.981054374977248,0.0282962251695373,0.1545339974794455,0.013860012954460306,0.03784131769505221
eALS,amazon-movies,12,16.846961583039956,0.028716317589869773,0.1568745123927264,0.014139830964142919,0.03846603276645998
eALS,amazon-movies,20,29.639348167955177,0.02940646942327312,0.1572045850087019,0.014243214416487465,0.03851554569010774
eALS,amazon-movies,30,44.4280644969258,0.029106403408749926,0.15783472363920062,0.01415852954529326,0.0386434826760467
eALS-uniform(alpha=0),amazon-movies,1,1.304045083001256,0.006421412710796375,0.036428014163115884,0.00318173430149656,0.00881846698287537
eALS-uniform(alpha=0),amazon-movies,2,2.436434125993401,0.01581347896537238,0.08986977134969694,0.007580694562825694,0.021633316992808415
eALS-uniform(alpha=0),amazon-movies,3,3.221199915977195,0.01959431074836464,0.11222468943167496,0.009288598585315137,0.02676057013541914
eALS-uniform(alpha=0),amazon-movies,5,5.435532875009812,0.023135089719738343,0.12803816839704735,0.011178854678782506,0.030921039630101135
eALS-uniform(alpha=0),amazon-movies,8,8.817022917006398,0.024155314169117207,0.13556982536157955,0.011753467726820494,0.03286653698076147
eALS-uniform(alpha=0),amazon-movies,12,13.56770645902725,0.02448538678509272,0.13938066374602412,0.012076100999860062,0.033861357586693244
eALS-uniform(alpha=0),amazon-movies,20,22.703688210982364,0.024845466002520553,0.1427414031086839,0.012129670544522742,0.03439621588498746
eALS-uniform(alpha=0),amazon-movies,30,41.77918200197746,0.025025505611234473,0.14343155494208726,0.01211868056773537,0.03452110475566891
MLlib-ALS,amazon-movies,1,5.779411625000648,0.005821280681749985,0.03678809338054372,0.0027998517266388306,0.008610842421482674
MLlib-ALS,amazon-movies,2,2.576210999977775,0.01653363740022805,0.08464862269699334,0.008150386684082198,0.02106116480907751
MLlib-ALS,amazon-movies,3,2.9160001249983907,0.01965432395126928,0.10238252415531417,0.00982577754559813,0.025516943820035852
MLlib-ALS,amazon-movies,5,5.352467208984308,0.021934825661645563,0.11204464982296106,0.010815390957139346,0.02793560753079413
MLlib-ALS,amazon-movies,8,6.391884791984921,0.022835023705215146,0.11777591070035408,0.011090323667602854,0.02903893483387757
MLlib-ALS,amazon-movies,12,11.01678604100016,0.022985056712476745,0.11753585788873552,0.011063945192436109,0.028933942902802594
MLlib-ALS,amazon-movies,20,17.48542416698183,0.02205485206745484,0.11864610214247134,0.010696303775142104,0.028942132920726782
MLlib-ALS,amazon-movies,30,21.795999249996385,0.02160475304567005,0.11714577206985537,0.010575935666264868,0.02867178919816389
