dataset,cores,rep,partitions,t_med,t_min,t_max,t_user,t_item,t_bcast,t_driver
ml-1m,1,0,2,1.3637807920167688,1.1660309589933604,1.4940932499885093,0.6658776249969378,0.6266930419951677,0.008997582976007834,0.00058637501206249
ml-1m,2,0,4,0.9122537919902243,0.8505117080057971,0.9126694579899777,0.4360380829893984,0.43631991700385697,0.012056332983775064,0.0009282499959226698
ml-1m,4,0,8,0.838383166003041,0.7729582080210093,0.9507430840167217,0.39941058299154975,0.41758583299815655,0.015374833019450307,0.001338833011686802
ml-1m,8,0,16,0.6377245000039693,0.6373494580038823,0.7611862909980118,0.3108178330003284,0.3320522499852814,0.00849779200507328,0.0007754160033073276
ml-1m,1,1,2,1.1736134999955539,1.0994494170008693,1.1844434590020683,0.5760260410024785,0.5794575000181794,0.005691833997843787,0.00039754199679009616
ml-1m,2,1,4,0.6787934169988148,0.6734254590119235,0.7035655000072438,0.3395035419962369,0.3430532089842018,0.007545249012764543,0.0005532920185942203
ml-1m,4,1,8,0.5264702920103446,0.5047812910052016,0.5452475000056438,0.25590970797929913,0.2606498340028338,0.008640000014565885,0.0010245000012218952
ml-1m,8,1,16,0.6118626669922378,0.5987852079852019,0.6263904999941587,0.3070166249817703,0.2950154159916565,0.008542499999748543,0.0005988340126350522
ml-1m,1,2,2,1.0538699160097167,1.0499034590029623,1.0817410830059089,0.5314306250074878,0.5238244169740938,0.006269708013860509,0.0004503750242292881
ml-1m,2,2,4,0.6957128749927506,0.6883317909960169,0.7050937500025611,0.34196250000968575,0.3470124590094201,0.006349790986860171,0.00038812498678453267
ml-1m,4,2,8,0.5057859999942593,0.4998937920026947,0.5061457919946406,0.24667608298477717,0.24797045800369233,0.008245751028880477,0.0008136249962262809
ml-1m,8,2,16,0.6583388750150334,0.625500041001942,0.6947976670053322,0.322265625,0.3259964580065571,0.008376417012186721,0.0006823329895269126
